




Analysis Type:	PANTHER Overrepresentation Test (Released 20190711)
Annotation Version and Release Date:	GO Ontology database  Released 2019-10-08
Analyzed List:	upload_1 (Homo sapiens)
Reference List:	Homo sapiens (all genes in database)
Test Type:	FISHER
Correction:	FDR
GO biological process complete	Homo sapiens - REFLIST (20996)	upload_1 (80)	upload_1 (expected)	upload_1 (over/under)	upload_1 (fold Enrichment)	upload_1 (raw P-value)	upload_1 (FDR)
negative regulation of nucleobase-containing compound transport (GO:0032240)	2	2	.01	+	 > 100	8.50E-05	9.79E-03
negative regulation of RNA export from nucleus (GO:0046832)	2	2	.01	+	 > 100	8.50E-05	9.72E-03
posttranscriptional tethering of RNA polymerase II gene DNA at nuclear periphery (GO:0000973)	3	2	.01	+	 > 100	1.41E-04	1.47E-02
nuclear pore complex assembly (GO:0051292)	9	4	.03	+	 > 100	1.34E-07	3.74E-05
actomyosin contractile ring assembly (GO:0000915)	5	2	.02	+	 > 100	2.95E-04	2.73E-02
assembly of actomyosin apparatus involved in cytokinesis (GO:0000912)	5	2	.02	+	 > 100	2.95E-04	2.71E-02
nuclear pore organization (GO:0006999)	14	5	.05	+	93.73	7.74E-09	3.85E-06
actomyosin contractile ring organization (GO:0044837)	6	2	.02	+	87.48	3.93E-04	3.41E-02
transcription-dependent tethering of RNA polymerase II gene DNA at nuclear periphery (GO:0000972)	6	2	.02	+	87.48	3.93E-04	3.39E-02
G-quadruplex DNA unwinding (GO:0044806)	7	2	.03	+	74.99	5.03E-04	4.06E-02
regulation of RNA export from nucleus (GO:0046831)	15	4	.06	+	69.99	7.14E-07	1.62E-04
mitotic spindle elongation (GO:0000022)	8	2	.03	+	65.61	6.28E-04	4.92E-02
regulation of nucleobase-containing compound transport (GO:0032239)	17	4	.06	+	61.75	1.10E-06	2.24E-04
pore complex assembly (GO:0046931)	20	4	.08	+	52.49	1.93E-06	3.49E-04
tRNA-containing ribonucleoprotein complex export from nucleus (GO:0071431)	34	6	.13	+	46.31	8.56E-09	4.00E-06
tRNA export from nucleus (GO:0006409)	34	6	.13	+	46.31	8.56E-09	3.89E-06
tRNA transport (GO:0051031)	36	6	.14	+	43.74	1.16E-08	4.87E-06
ncRNA export from nucleus (GO:0097064)	38	6	.14	+	41.44	1.56E-08	6.34E-06
mitotic spindle assembly checkpoint (GO:0007094)	27	3	.10	+	29.16	1.99E-04	2.00E-02
intracellular transport of virus (GO:0075733)	54	6	.21	+	29.16	1.05E-07	3.10E-05
